fecha,RNN_Directa
2026-08-01,277.2103
2026-08-02,202.30347
2026-08-03,280.7139
2026-08-04,252.76936
2026-08-05,282.07782
2026-08-06,290.41742
2026-08-07,300.6837
2026-08-08,368.76566
2026-08-09,365.082
2026-08-10,419.02682
2026-08-11,488.67407
2026-08-12,504.16345
2026-08-13,509.8944
2026-08-14,490.04266
2026-08-15,502.0958
2026-08-16,555.86914
2026-08-17,523.3569
2026-08-18,593.4126
2026-08-19,621.33813
2026-08-20,601.84033
2026-08-21,562.0326
2026-08-22,601.0445
2026-08-23,546.18066
2026-08-24,574.6195
2026-08-25,658.29285
2026-08-26,699.5141
2026-08-27,743.6485
2026-08-28,755.60376
2026-08-29,822.1536
2026-08-30,804.0388
