ventana,hidden_size,num_layers,dropout,nonlinearity,dense_size,batch_size,lr,optimizador,horizonte,val_mse,best_epoch_search
30,64,2,0.5,relu,128,64,0.0005,rmsprop,30,9.446500754747234e-05,92
90,32,2,0.3,relu,64,16,0.0001,rmsprop,30,9.918291467786486e-05,69
60,128,1,0.3,tanh,64,32,0.0005,rmsprop,30,0.0001072671162626131,31
30,128,1,0.2,relu,128,32,0.0001,rmsprop,30,0.00011078205590691072,50
30,32,2,0.5,tanh,128,16,0.001,rmsprop,30,0.00011323013755141711,24
30,32,1,0.5,relu,64,16,0.001,adam,30,0.00011456278381777591,72
30,64,1,0.2,tanh,64,64,0.0005,adam,30,0.00011690684029313384,68
60,128,1,0.3,relu,128,32,0.001,adam,30,0.00012148435079986281,25
30,32,2,0.5,tanh,64,16,0.0001,adam,30,0.00013321006436491274,180
60,32,2,0.3,relu,32,64,0.0005,rmsprop,30,0.00013678209052059818,58
90,128,1,0.5,tanh,128,32,0.001,rmsprop,30,0.0001614948195186469,21
90,32,2,0.3,tanh,32,32,0.0001,rmsprop,30,0.00030912466225076896,38
