epoch,step,train_loss
0,49,5.9748430252075195
1,99,5.156210422515869
2,149,4.908929824829102
3,199,4.752309799194336
4,249,4.685243129730225
5,299,4.651817321777344
6,349,4.635034084320068
7,399,4.665948867797852
8,449,4.5585737228393555
9,499,4.54500675201416
10,549,4.561873912811279
11,599,4.533758640289307
12,649,4.54538106918335
13,699,4.51419734954834
14,749,4.5137529373168945
15,799,4.526663303375244
16,849,4.511762619018555
17,899,4.497657299041748
18,949,4.477034091949463
19,999,4.4530487060546875
